acc,accuracy,avg_rt,browser_codename,browser_name,browser_version,category,correct,correct_response,count_reset_feedback,count_trial_sequence,date_startdate,date_startdateUTC,date_starttime,experiment_debug,experiment_parameters,experiment_pilot,experiment_taskname,experiment_taskversion,jatosStudyResultId,jatosVersion,queryParams_batchId,queryParams_generalMultiple,response_keyboard_response,response_time,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_width,subject_nr,system_os,target
100,100,117,,,,None,1,m,0,27,,,,,,,,,,,,,m,137,,,,,,,,,1,,None
100,100,118,,,,None,1,m,0,28,,,,,,,,,,,,,m,125,,,,,,,,,1,,None
100,100,118,,,,None,1,m,0,29,,,,,,,,,,,,,m,132,,,,,,,,,1,,None
100,100,118,,,,None,1,m,0,30,,,,,,,,,,,,,m,115,,,,,,,,,1,,None
100,100,118,,,,None,1,m,0,31,,,,,,,,,,,,,m,118,,,,,,,,,1,,None
100,100,118,,,,None,1,m,0,32,,,,,,,,,,,,,m,119,,,,,,,,,1,,None
100,100,119,,,,None,1,m,0,33,,,,,,,,,,,,,m,149,,,,,,,,,1,,None
100,100,119,,,,None,1,m,0,34,,,,,,,,,,,,,m,112,,,,,,,,,1,,None
100,100,119,,,,None,1,m,0,35,,,,,,,,,,,,,m,123,,,,,,,,,1,,None
100,100,120,,,,None,1,m,0,36,,,,,,,,,,,,,m,146,,,,,,,,,1,,None
100,100,120,,,,None,1,m,0,37,,,,,,,,,,,,,m,123,,,,,,,,,1,,None
100,100,120,,,,None,1,m,0,38,,,,,,,,,,,,,m,148,,,,,,,,,1,,None
100,100,121,,,,None,1,m,0,39,,,,,,,,,,,,,m,129,,,,,,,,,1,,None
100,100,121,,,,None,1,m,0,40,,,,,,,,,,,,,m,114,,,,,,,,,1,,None
100,100,121,,,,None,1,m,0,41,,,,,,,,,,,,,m,146,,,,,,,,,1,,None
