browser_codename,browser_name,browser_version,condition,congruence,correct,counterbalance,date_startdate,date_startdateUTC,date_starttime,experiment_debug,experiment_parameters,experiment_pilot,experiment_taskname,experiment_taskversion,jatosStudyResultId,jatosVersion,prime,queryParams_batchId,queryParams_jatosWorkerId,response_time,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_width,soa_condition,system_os,target,time_mask1,time_mask2,time_prime
Mozilla,Netscape,5.0 (Macintosh),Inc_Nat_Synth,incongruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,crow,-1,1,2015,1175,1920,30,1200,30,0,25,1920,short,MacIntel,YACHT,208750,208834,208786
Mozilla,Netscape,5.0 (Macintosh),Con_Nat,congruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,tiger,-1,1,2017,1175,1920,30,1200,30,0,25,1920,short,MacIntel,TIGER,211451,211533,211486
Mozilla,Netscape,5.0 (Macintosh),Inc_Nat_Synth,incongruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,mice,-1,1,2015,1175,1920,30,1200,30,0,25,1920,short,MacIntel,TOOLS,214151,214250,214202
Mozilla,Netscape,5.0 (Macintosh),Inc_Synth_Nat,incongruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,sewer,-1,1,2015,1175,1920,30,1200,30,0,25,1920,short,MacIntel,CORAL,216868,216935,216901
Mozilla,Netscape,5.0 (Macintosh),Con_Synth,congruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,coat,-1,1,2014,1175,1920,30,1200,30,0,25,1920,short,MacIntel,COAT,219550,219635,219586
Mozilla,Netscape,5.0 (Macintosh),Inc_Nat_Nat,incongruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,poppy,-1,1,2014,1175,1920,30,1200,30,0,25,1920,short,MacIntel,DINGO,222267,222351,222302
Mozilla,Netscape,5.0 (Macintosh),Con_Nat,congruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,goose,-1,1,2015,1175,1920,30,1200,30,0,25,1920,short,MacIntel,GOOSE,224967,225051,225002
Mozilla,Netscape,5.0 (Macintosh),Inc_Nat_Nat,incongruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,grape,-1,1,2015,1175,1920,30,1200,30,0,25,1920,short,MacIntel,LLAMA,227685,227767,227719
Mozilla,Netscape,5.0 (Macintosh),Inc_Nat_Nat,incongruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,cobra,-1,1,2016,1175,1920,30,1200,30,0,25,1920,short,MacIntel,TWIG,230401,230470,230436
Mozilla,Netscape,5.0 (Macintosh),Con_Nat,congruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,cave,-1,1,2016,1175,1920,30,1200,30,0,25,1920,short,MacIntel,CAVE,233102,233190,233152
Mozilla,Netscape,5.0 (Macintosh),Con_Synth,congruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,gate,-1,1,2013,1175,1920,30,1200,30,0,25,1920,short,MacIntel,GATE,235821,235918,235868
Mozilla,Netscape,5.0 (Macintosh),Inc_Nat_Nat,incongruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,fern,-1,1,2016,1175,1920,30,1200,30,0,25,1920,short,MacIntel,PETAL,238525,238618,238568
Mozilla,Netscape,5.0 (Macintosh),Con_Synth,congruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,cable,-1,1,2007,1175,1920,30,1200,30,0,25,1920,short,MacIntel,CABLE,241251,241334,241285
Mozilla,Netscape,5.0 (Macintosh),Con_Nat,congruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,frog,-1,1,2015,1175,1920,30,1200,30,0,25,1920,short,MacIntel,FROG,243954,244050,244004
Mozilla,Netscape,5.0 (Macintosh),Inc_Synth_Synth,incongruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,kiosk,-1,1,2012,1175,1920,30,1200,30,0,25,1920,short,MacIntel,SOFA,246667,246735,246700
Mozilla,Netscape,5.0 (Macintosh),Inc_Synth_Synth,incongruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,patio,-1,1,2015,1175,1920,30,1200,30,0,25,1920,short,MacIntel,SPOON,249351,249436,249400
