browser_codename,browser_name,browser_version,condition,congruence,correct,counterbalance,date_startdate,date_startdateUTC,date_starttime,experiment_debug,experiment_parameters,experiment_pilot,experiment_taskname,experiment_taskversion,jatosStudyResultId,jatosVersion,prime,queryParams_batchId,queryParams_jatosWorkerId,response_time,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_width,soa_condition,system_os,target,time_mask1,time_mask2,time_prime
Mozilla,Netscape,5.0 (Macintosh),Con_Nat,congruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,tiger,-1,1,2017,1175,1920,30,1200,30,118,121,1920,short,MacIntel,TIGER,429149,429233,429184
Mozilla,Netscape,5.0 (Macintosh),Inc_Synth_Synth,incongruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,sash,-1,1,2017,1175,1920,30,1200,30,118,121,1920,short,MacIntel,CLOTH,431866,431950,431916
Mozilla,Netscape,5.0 (Macintosh),Inc_Nat_Nat,incongruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,cobra,-1,1,2016,1175,1920,30,1200,30,118,121,1920,short,MacIntel,TWIG,434582,434666,434616
Mozilla,Netscape,5.0 (Macintosh),Inc_Nat_Nat,incongruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,fern,-1,1,2014,1175,1920,30,1200,30,118,121,1920,short,MacIntel,PETAL,437300,437384,437348
Mozilla,Netscape,5.0 (Macintosh),Inc_Synth_Nat,incongruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,rail,-1,1,2015,1175,1920,30,1200,30,118,121,1920,short,MacIntel,SQUID,440016,440099,440066
Mozilla,Netscape,5.0 (Macintosh),Inc_Synth_Synth,incongruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,spade,-1,1,2016,1175,1920,30,1200,30,118,121,1920,short,MacIntel,SHELF,442716,442799,442755
Mozilla,Netscape,5.0 (Macintosh),Inc_Synth_Synth,incongruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,patio,-1,1,2011,1175,1920,30,1200,30,118,121,1920,short,MacIntel,SPOON,445416,445499,445465
Mozilla,Netscape,5.0 (Macintosh),Con_Nat,congruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,corn,-1,1,2013,1175,1920,30,1200,30,118,121,1920,short,MacIntel,CORN,448118,448200,448165
Mozilla,Netscape,5.0 (Macintosh),Con_Synth,congruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,cable,-1,1,2018,1175,1920,30,1200,30,118,121,1920,short,MacIntel,CABLE,450817,450901,450866
Mozilla,Netscape,5.0 (Macintosh),Inc_Synth_Nat,incongruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,rake,-1,1,2016,1175,1920,30,1200,30,118,121,1920,short,MacIntel,HUSKY,453533,453616,453582
Mozilla,Netscape,5.0 (Macintosh),Con_Synth,congruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,sword,-1,1,2018,1175,1920,30,1200,30,118,121,1920,short,MacIntel,SWORD,456236,456315,456282
Mozilla,Netscape,5.0 (Macintosh),Inc_Synth_Synth,incongruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,ladle,-1,1,2016,1175,1920,30,1200,30,118,121,1920,short,MacIntel,CAFÉ,458933,459000,458966
Mozilla,Netscape,5.0 (Macintosh),Con_Nat,congruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,hawk,-1,1,2017,1175,1920,30,1200,30,118,121,1920,short,MacIntel,HAWK,461632,461715,461667
Mozilla,Netscape,5.0 (Macintosh),Con_Synth,congruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,coat,-1,1,2016,1175,1920,30,1200,30,118,121,1920,short,MacIntel,COAT,464333,464416,464382
Mozilla,Netscape,5.0 (Macintosh),Con_Nat,congruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,whale,-1,1,2017,1175,1920,30,1200,30,118,121,1920,short,MacIntel,WHALE,467049,467116,467082
Mozilla,Netscape,5.0 (Macintosh),Con_Nat,congruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,worm,-1,1,2016,1175,1920,30,1200,30,118,121,1920,short,MacIntel,WORM,469750,469832,469798
Mozilla,Netscape,5.0 (Macintosh),Con_Synth,congruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,toast,-1,1,2015,1175,1920,30,1200,30,118,121,1920,short,MacIntel,TOAST,472450,472549,472499
Mozilla,Netscape,5.0 (Macintosh),Inc_Nat_Synth,incongruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,mice,-1,1,2015,1175,1920,30,1200,30,118,121,1920,short,MacIntel,TOOLS,475190,475282,475233
Mozilla,Netscape,5.0 (Macintosh),Inc_Synth_Nat,incongruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,spear,-1,1,2015,1175,1920,30,1200,30,118,121,1920,short,MacIntel,MOTH,477882,477966,477931
Mozilla,Netscape,5.0 (Macintosh),Con_Nat,congruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,grass,-1,1,2016,1175,1920,30,1200,30,118,121,1920,short,MacIntel,GRASS,480585,480666,480631
Mozilla,Netscape,5.0 (Macintosh),Inc_Nat_Synth,incongruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,leaf,-1,1,2016,1175,1920,30,1200,30,118,121,1920,short,MacIntel,COIN,483300,483382,483348
Mozilla,Netscape,5.0 (Macintosh),Inc_Nat_Synth,incongruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,camel,-1,1,2014,1175,1920,30,1200,30,118,121,1920,short,MacIntel,BENCH,486015,486081,486048
Mozilla,Netscape,5.0 (Macintosh),Con_Nat,congruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,deer,-1,1,2015,1175,1920,30,1200,30,118,121,1920,short,MacIntel,DEER,488699,488782,488748
Mozilla,Netscape,5.0 (Macintosh),Con_Nat,congruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,goose,-1,1,2015,1175,1920,30,1200,30,118,121,1920,short,MacIntel,GOOSE,491399,491498,491449
Mozilla,Netscape,5.0 (Macintosh),Inc_Nat_Nat,incongruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,berry,-1,1,2016,1175,1920,30,1200,30,118,121,1920,short,MacIntel,OTTER,494116,494199,494165
Mozilla,Netscape,5.0 (Macintosh),Con_Nat,congruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,soil,-1,1,2015,1175,1920,30,1200,30,118,121,1920,short,MacIntel,SOIL,496833,496915,496866
Mozilla,Netscape,5.0 (Macintosh),Inc_Nat_Synth,incongruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,melon,-1,1,2015,1175,1920,30,1200,30,118,121,1920,short,MacIntel,HOSE,499549,499633,499586
Mozilla,Netscape,5.0 (Macintosh),Con_Synth,congruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,tower,-1,1,2016,1175,1920,30,1200,30,118,121,1920,short,MacIntel,TOWER,502267,502365,502316
Mozilla,Netscape,5.0 (Macintosh),Con_Synth,congruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,drug,-1,1,2015,1175,1920,30,1200,30,118,121,1920,short,MacIntel,DRUG,504982,505065,505015
Mozilla,Netscape,5.0 (Macintosh),Con_Nat,congruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,frog,-1,1,2016,1175,1920,30,1200,30,118,121,1920,short,MacIntel,FROG,507683,507784,507732
Mozilla,Netscape,5.0 (Macintosh),Inc_Nat_Synth,incongruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,peach,-1,1,2015,1175,1920,30,1200,30,118,121,1920,short,MacIntel,SHED,510416,510515,510465
Mozilla,Netscape,5.0 (Macintosh),Inc_Synth_Nat,incongruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,torch,-1,1,2015,1175,1920,30,1200,30,118,121,1920,short,MacIntel,CHIMP,513133,513231,513182
Mozilla,Netscape,5.0 (Macintosh),Inc_Synth_Synth,incongruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,silo,-1,1,2016,1175,1920,30,1200,30,118,121,1920,short,MacIntel,PLAZA,515849,515948,515898
