"","id","condition","span","correct_answer","participant_answer","correct","rt","percent_correct"
"76","19","numbers","5","296466","29646","FALSE",513,66.67
"77","19","numbers","6","433644","433465","FALSE",874,50
"78","19","numbers","6","318444","318444","TRUE",398,66.67
"79","19","numbers","7","6399664","396654","FALSE",3236,57.14
"80","19","numbers","7","9618554","9618534","FALSE",1878,85.71
"81","20","letters","3","vjy","vjy","TRUE",212,100
"82","20","letters","3","zvy","zvy","TRUE",579,100
"83","20","letters","4","zxmy","zxmy","TRUE",562,100
"84","20","letters","4","tqtf","tqtf","TRUE",301,75
"85","20","letters","5","dyvfxx","dyvfx","FALSE",325,83.33
"86","20","letters","5","imvtkk","imvtk","FALSE",339,83.33
"87","20","letters","6","grypyy","grypyr","FALSE",639,66.67
"88","20","letters","6","imuuee","imuuer","FALSE",729,66.67
"89","20","letters","7","vezgssl","vezgsql","FALSE",1174,85.71
"90","20","letters","7","uptxiif","uptvxyp","FALSE",3177,57.14
"91","20","numbers","3","395","395","TRUE",243,100
"92","20","numbers","3","183","183","TRUE",198,100
"93","20","numbers","4","6554","6554","TRUE",334,75
"94","20","numbers","4","5551","5551","TRUE",366,50
"95","20","numbers","5","524122","52412","FALSE",575,66.67
"96","20","numbers","5","296466","29646","FALSE",626,66.67
"97","20","numbers","6","433644","433649","FALSE",601,50
"98","20","numbers","6","318444","316444","FALSE",534,50
"99","20","numbers","7","6399664","6399654","FALSE",971,57.14
"100","20","numbers","7","9618554","698645","FALSE",1211,71.43
"101","24","letters","3","vjy","vjy","TRUE",1340,100
"102","24","letters","3","zvy","zvy","TRUE",1023,100
"103","24","letters","4","zxmy","zxmy","TRUE",1432,100
"104","24","letters","4","tqtf","tqtf","TRUE",1409,75
"105","24","letters","5","dyvfxx","dyvfx","FALSE",1177,83.33
"106","24","letters","5","imvtkk","imvtk","FALSE",1244,83.33
"107","24","letters","6","grypyy","grypyr","FALSE",1285,66.67
"108","24","letters","6","imuuee","imuuer","FALSE",676,66.67
"109","24","letters","7","vezgssl","vezgsql","FALSE",4582,85.71
"110","24","letters","7","uptxiif","uptxipf","FALSE",1433,85.71
"111","24","numbers","3","395","395","TRUE",2617,100
"112","24","numbers","3","183","183","TRUE",758,100
"113","24","numbers","4","6554","6554","TRUE",3009,75
"114","24","numbers","4","5551","5551","TRUE",877,50
"115","24","numbers","5","524122","52412","FALSE",753,66.67
"116","24","numbers","5","296466","29646","FALSE",1596,66.67
"117","24","numbers","6","433644","433645","FALSE",995,50
"118","24","numbers","6","318444","318444","TRUE",1324,66.67
"119","24","numbers","7","6399664","6399654","FALSE",2750,57.14
"120","24","numbers","7","9618554","9618534","FALSE",1631,85.71
"121","16","letters","3","vjy","vjy","TRUE",887,100
"122","16","letters","3","zvy","zvy","TRUE",310,100
"123","16","letters","4","zxmy","zxmy","TRUE",277,100
"124","16","letters","4","tqtf","tqtf","TRUE",452,75
"125","16","letters","5","dyvfxx","dyvfx","FALSE",431,83.33
"126","16","letters","5","imvtkk","imvtk","FALSE",455,83.33
"127","16","letters","6","grypyy","grypyr","FALSE",850,66.67
"128","16","letters","6","imuuee","imuuer","FALSE",834,66.67
"129","16","letters","7","vezgssl","vezqx1","FALSE",448,42.86
